t_s,vx_ref,vy_ref,vz_ref,yawrate_ref_deg_s,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,wx_raw,wy_raw,wz_raw,m1,m2,m3,m4,motor_var1,motor_var2,motor_var3,motor_var4,tilt_deg,scale,log_timestamp,a_N_per_u2,a_source,F1_N,F2_N,F3_N,F4_N,T_N,tau_x_Nm,tau_y_Nm,tau_z_Nm,momentConstant_km,roll_rad,pitch_rad,yaw_rad,wx_radps,wy_radps,wz_radps,gyro_units_detected
45.05617427825928,0.0004951346229824,-0.088662605735492,-0.0339624662315895,-19.01866979756341,0.016702827066183,-0.1279735565185547,-0.6054847836494446,3.832829713821411,0.4451859891414642,12.9209623336792,6.438016891479492,-36.75984954833984,-0.2924113273620605,46481.0,57105.0,49861.0,43349.0,motor.m1,motor.m2,motor.m3,motor.m4,3.832829713821411,1.0,58630,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.09936803037978467,0.14998368763651004,0.114345143626819,0.08642789235603328,0.450124753999147,-0.0015059391430367161,0.0024345201643528433,0.00013538582282024826,0.005964552,0.06689549817445564,0.007769961294266274,0.22551333524887224,0.1123645920553276,-0.6415804071562806,-0.005103540432594941,"wx:deg/s, wy:deg/s, wz:deg/s"
45.10649490356445,0.1060422497227189,-0.1118261164098752,0.0239747085395937,-14.641456158944935,0.0184531696140766,-0.1304211765527725,-0.4799754619598388,3.3743209838867188,1.7735300064086914,12.923622131347656,9.02967357635498,-43.88071060180664,-0.0990590304136276,46644.0,56480.0,49502.0,44170.0,motor.m1,motor.m2,motor.m3,motor.m4,3.3743209838867188,1.0,58677,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.1000661818320819,0.14671858561859177,0.11270449756801192,0.08973266250756498,0.44922192752625056,-0.0013747758286280004,0.0021583514042556604,0.00014124398355617616,0.005964552,0.05889301118795777,0.0309539379947478,0.22555975747562368,0.157597534287726,-0.7658628781163083,-0.001728906234551002,"wx:deg/s, wy:deg/s, wz:deg/s"
45.156898021698,0.1790087275246938,-0.1512113284857922,0.0766626498911494,-8.938485769358339,0.0126069588586688,-0.1343653053045272,-0.3309012949466705,3.260218381881714,3.011785984039306,12.917452812194824,9.402295112609863,-42.262977600097656,0.0746906399726867,43802.0,59418.0,50528.0,39572.0,motor.m1,motor.m2,motor.m3,motor.m4,3.260218381881714,1.0,58728,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.08824368533435271,0.1623797298303854,0.11742483869585131,0.07202309107750111,0.4400713449380905,-0.001896440047132956,0.003705671555545869,0.0001713872079103749,0.005964552,0.05690154509787775,0.05256558178690328,0.22545208254380042,0.16410100695921312,-0.7376281108183155,0.0013035975879450705,"wx:deg/s, wy:deg/s, wz:deg/s"
45.207364082336426,0.1975345840739118,-0.1858557619295233,0.1087724499915834,-2.5832849679580336,0.0003576981835067,-0.1377843469381332,-0.1092569753527641,2.986732482910156,3.561591386795044,12.969311714172363,7.295217514038086,-32.03960418701172,0.3231758773326874,48892.0,52490.0,52424.0,39514.0,motor.m1,motor.m2,motor.m3,motor.m4,3.561591386795044,1.0,58778,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.10994395653530316,0.12672109037325086,0.1264026169936304,0.07181211978692625,0.4348797836891106,-0.0011919596139679189,0.0022123965623842066,-0.00022553977210784296,0.005964552,0.05212831570304749,0.06216149631024441,0.22635719112977748,0.12732556526912026,-0.5591965840991155,0.005640483122476705,"wx:deg/s, wy:deg/s, wz:deg/s"
45.25764870643616,0.1551008233466094,-0.1973858589451626,0.1113187285532596,3.654709860559391,-0.0151933841407299,-0.1480667144060135,0.1187902465462684,2.882105827331543,3.708925247192383,13.016481399536133,2.366611957550049,-10.84291172027588,0.6193721294403076,33415.0,41935.0,40957.0,33769.0,motor.m1,motor.m2,motor.m3,motor.m4,3.708925247192383,1.0,58828,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.051354521445314646,0.08088147269651427,0.07715286038936871,0.05244838933767401,0.26183724386887164,-8.16770768583728e-05,0.0016811740913897238,2.8763933918917524e-05,0.005964552,0.0503022360778506,0.06473295727385166,0.22718045744650503,0.041305170776316624,-0.18924451002189652,0.01081008295382187,"wx:deg/s, wy:deg/s, wz:deg/s"
45.30798768997192,0.0629458422513454,-0.179161211561725,0.0846553813508462,9.0939888011204,-0.0200032480061054,-0.1438565701246261,0.3181480169296264,2.5642638206481934,2.7303695678710938,13.101524353027344,-0.3593454957008362,4.956091403961182,0.7056268453598022,22269.0,27955.0,29545.0,23435.0,motor.m1,motor.m2,motor.m3,motor.m4,2.7303695678710938,1.0,58878,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.022808524227017745,0.0359430352499973,0.04014798417090307,0.025259553607066262,0.12415909725498438,0.00020633532732958313,0.000868711189191307,-1.046134430525921e-05,0.005964552,0.04475484656008033,0.04765393875560537,0.22866473699054707,-0.00627176205219072,0.08650011302891096,0.01231551174198942,"wx:deg/s, wy:deg/s, wz:deg/s"
45.359315156936646,-0.0549217533970255,-0.1373544596846031,0.0369876923146702,13.187051358023105,-0.0267165787518024,-0.1492253243923187,0.5218341946601868,2.3799972534179688,1.3461649417877195,13.173870086669922,-1.715413212776184,23.990333557128903,0.7962414622306824,27869.0,21921.0,25467.0,27947.0,motor.m1,motor.m2,motor.m3,motor.m4,2.3799972534179688,1.0,58928,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.0357222270695629,0.022101231811381326,0.029829868044566204,0.035922466254245465,0.1235757931797559,0.00024579513795389087,-0.000611121397503686,-4.490351567243859e-05,0.005964552,0.041538788260565424,0.023495010509113505,0.2299274082423809,-0.02993960859515847,0.4187103092235825,0.013897035156819481,"wx:deg/s, wy:deg/s, wz:deg/s"
45.40970730781555,-0.1598991124460914,-0.0902130968430461,-0.014404919067892,15.348954009899042,-0.0264681242406368,-0.1546212881803512,0.6520917415618896,2.379868984222412,-0.2445861101150512,13.223747253417969,-1.0876270532608032,37.058372497558594,0.8077690005302429,28982.0,21876.0,21896.0,30450.0,motor.m1,motor.m2,motor.m3,motor.m4,2.379868984222412,1.0,58978,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.03863246856124446,0.02201058497895036,0.022050849463318072,0.04264521905207688,0.12533912205558978,0.0001256434642312044,-0.0011537038483026402,2.3694099354831105e-05,0.005964552,0.04153654954077408,-0.00426883292615305,0.23079792902370053,-0.018982673113164743,0.6467906155129117,0.01409822865479656,"wx:deg/s, wy:deg/s, wz:deg/s"
45.46007680892944,-0.2235033720094291,-0.0537280240175915,-0.0539950917988443,15.476265472257603,-0.0255246646702289,-0.1616635918617248,0.6980299949645996,2.624958038330078,-1.8317004442214968,13.243473052978516,1.6009602546691897,48.31175994873047,0.7552402019500732,33265.0,11159.0,9701.0,25875.0,motor.m1,motor.m2,motor.m3,motor.m4,2.624958038330078,1.0,59028,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.05089449520405789,0.0057272522402908995,0.004328413718151907,0.030793316979746237,0.09174347814224693,-0.00066650051913997,-0.0022205965329862008,-0.00011155107767527332,0.005964552,0.04581416049555138,-0.03196920366190786,0.23114220917362052,0.027942027637544282,0.8431992785384735,0.013181428167455678,"wx:deg/s, wy:deg/s, wz:deg/s"
45.51043844223023,-0.2281729107425372,-0.0359340884128636,-0.0699249208362886,13.624294991092125,-0.0212095566093921,-0.1661005616188049,0.6629668474197388,2.985928535461426,-3.315974473953247,13.276812553405762,6.09675407409668,50.70570755004883,0.5816368460655212,36354.0,13014.0,4222.0,26410.0,motor.m1,motor.m2,motor.m3,motor.m4,3.315974473953247,1.0,59077,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06078552351073439,0.007789639521031148,0.0008198458706113079,0.03207986692304745,0.1014748758254243,-0.00110593895738131,-0.002611933056306321,-0.0001296446847542024,0.005964552,0.052114284173054144,-0.05787467248257111,0.231724093227046,0.10640843227736539,0.8849815463016995,0.010151478014758773,"wx:deg/s, wy:deg/s, wz:deg/s"
45.560781955718994,-0.1747312255989951,-0.0327537268376525,-0.0583839856786704,10.082894896138578,-0.0163780786097049,-0.1679667532444,0.5375269651412964,3.4848811626434326,-4.455411434173584,13.296740531921388,7.989254474639893,42.98788833618164,0.4405786395072937,36119.0,13821.0,6941.0,23119.0,motor.m1,motor.m2,motor.m3,motor.m4,4.455411434173584,1.0,59128,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06000220235307479,0.00878566601339158,0.0022158473802888494,0.024582941381830543,0.09558665712858577,-0.001301661467734756,-0.002281092540577972,-0.0001720739989968467,0.005964552,0.06082265032885592,-0.07776159905733164,0.2320719020654104,0.13943879536215595,0.7502801899460366,0.007689547873359443,"wx:deg/s, wy:deg/s, wz:deg/s"
45.611175537109375,-0.0818567327743848,-0.0309044432642952,-0.0245250441790387,5.328797327731979,-0.0099559910595417,-0.1655556261539459,0.3636107146739959,3.924898862838745,-4.903900623321533,13.291906356811523,7.617733955383301,25.868391036987305,0.2749777436256408,33218.0,18428.0,10804.0,20318.0,motor.m1,motor.m2,motor.m3,motor.m4,4.903900623321533,1.0,59178,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.05075077950159025,0.015618961801585032,0.005368647711243069,0.01898705758699377,0.09072544660141213,-0.0013024351161530917,-0.0015112570548484337,-0.00012831783966497294,0.005964552,0.06850240796431742,-0.08558921206756298,0.2319875297931253,0.13295453906240942,0.4514885957888187,0.004799266995972282,"wx:deg/s, wy:deg/s, wz:deg/s"
45.6615207195282,0.0197219024252132,-0.0155687000495376,0.0194334263958474,-0.0149107665733142,-0.0099007291719317,-0.1417905390262603,0.0305578783154487,4.126550197601318,-3.3286821842193604,13.136838912963867,3.905165672302246,1.090925216674805,-0.0177338700741529,34499.0,34715.0,27627.0,25543.0,motor.m1,motor.m2,motor.m3,motor.m4,4.126550197601318,1.0,59228,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.054740501130298005,0.055428113143162094,0.035104533894106185,0.030008173516577256,0.17528132168414354,-0.001396733112746076,0.00017930314410218354,-2.6296208875958393e-05,0.005964552,0.07202188769696562,-0.05809646386710427,0.22928109233533228,0.06815799881753212,0.019040236924007893,-0.0003095144219148591,"wx:deg/s, wy:deg/s, wz:deg/s"
